code,X,Y
793,16980,62683
6300,18220,66430
342,16324,61117
133,22021,73114
35,25822,76940
145,22324,71829
442,23393,71720
2550,17927,63567
1966,27040,74680
1962,27090,77860
1964,26700,76100
852,26074,78109
755,22243,77349
1219,22363,77386
457,24222,72714
370,19252,64268
706,16242,61519
196,18119,64406
1043,19431,63471
1204,22247,75646
736,16687,58193
262,24930,75035
92,22445,72993
863,19199,65224
1206,22361,76356
3613,23737,66773
393,18562,61577
3606,24251,65628
346,18420,67381
1809,23620,77180
1811,24380,76690
1810,25080,77340
1812,23850,76890
1820,24190,75400
1819,24260,74060
1821,24840,72760
1822,24160,75000
369,20744,71810
1997,,
745,19454,64834
1072,17176,63474
225,20008,70763
239,19129,67798
734,19964,69519
166,17247,63297
1274,23199,71531
311,17753,65029
144,18106,64288
72,19553,70657
836,18394,65836
549,19084,69191
1103,18627,64289
1371,18042,63293
862,18481,64064
3823,20180,64847
218,19086,67313
229,18837,66300
842,18365,68180
463,22041,76793
39,18857,62761
1129,20595,42802
4022,26745,74724
305,25199,72518
574,21080,77155
340,18058,61511
128,18882,66395
494,20505,73325
146,22505,71762
489,23514,73300
849,18336,59122
407,23305,72807
62,25415,73488
79,25421,73403
1067,23839,77297
3747,21269,64818
738,19284,72374
336,16635,60173
475,23258,72519
490,22543,76005
492,23480,75200
493,19508,63156
2200,20328,55316
2063,24882,77637
300,20729,72171
431,24605,76912
1709,24503,77019
1317,22163,74673
303,26131,79391
302,25991,79280
1241,13773,56740
1881,0,0
1882,18990,68100
1885,19600,67130
1998,,
1349,20720,57882
702,25859,73681
675,19395,72700
356,25853,79177
191,19091,69504
9700,19016,67325
1322,24107,74379
726,16600,62041
1169,20200,55900
956,17620,59080
1186,22765,74043
250,21148,72773
307,24738,73908
434,19625,73976
684,21949,72416
1208,22317,77125
377,19859,69825
1751,17181,64583
677,22256,73955
423,19306,69651
1944,0,0
1945,20620,43180
1946,21590,50670
3769,21232,63708
1869,20500,71490
1868,20090,71920
1870,21050,71460
3603,21640,62544
1953,18510,48010
1951,18830,44330
1952,20400,48240
1948,17280,52230
1949,21890,54410
1947,16580,47710
1950,20540,52480
1261,20970,58352
464,19531,63517
1249,21638,74111
1801,20670,63030
1802,0,0
1823,23510,73910
1839,22270,73890
6400,18454,67522
1203,23468,75012
1999,22356,65137
3639,24113,63714
1133,17939,61911
2742,20320,57170
815,17731,61858
44,17088,61156
584,15464,61318
788,18978,65365
9300,19577,71962
799,19485,62415
1290,20351,69685
1065,15743,59529
816,20000,62667
2064,16429,59642
975,22112,73668
818,17594,62110
1321,21310,74174
986,21501,74051
235,18729,69635
1110,22508,71708
717,19516,67158
3764,20762,60015
205,19328,69924
4026,26041,75924
618,19369,65289
6500,19256,70466
948,22785,74887
160,18898,63766
6600,17927,65826
1239,13573,57134
253,25732,77301
662,22814,76697
1332,23022,75622
1864,19470,72760
115,18836,69905
374,24668,75395
1303,19387,57841
496,23267,76914
355,19744,67160
1047,23727,75686
219,19199,70045
3643,21608,70967
4000,20112,74546
162,19216,68301
1272,22952,76173
3573,21201,65696
820,16763,60965
993,24618,74838
801,18511,65842
343,24909,71406
3646,24994,68438
3609,24126,67839
807,19541,69328
280,21665,77698
1257,22321,74321
4005,27462,75023
363,18116,63302
90,24024,71384
700,17828,63213
13,22667,51972
406,17359,63120
2034,25115,76527
397,17269,57221
422,19241,70092
1024,18744,68161
1247,20478,70720
1960,26850,79910
3717,21142,70327
1209,23100,76241
3770,20236,64872
6700,24942,74369
962,25563,76342
498,23545,74242
2730,20084,68572
497,24202,72332
2720,19577,68225
663,19389,65787
2100,19768,74080
268,24997,70303
1181,21699,75908
462,19087,63474
1177,17796,54464
3788,21321,64936
8900,21821,75101
547,23816,72669
3743,19585,58696
1214,23983,75265
1295,22327,76506
1232,13479,56688
46,24779,73510
2660,17521,64285
96,20755,73859
798,18869,65510
577,18323,63393
1134,20858,63523
758,20078,69249
358,15814,61092
775,17213,61789
64,19072,64528
1144,21009,63562
9400,18940,66002
1158,21220,44376
2009,25612,79464
1226,22563,75377
1112,22576,74912
4007,27462,76049
803,16287,59479
452,23040,71866
409,22098,76686
866,20559,42277
3607,24003,65064
811,16199,59912
1772,23450,56748
753,19545,69033
2011,17937,62785
29,25663,77358
440,18738,63589
575,21585,75622
1138,22307,75377
1117,22918,71752
1044,19702,68605
795,21778,77469
1863,24040,72680
499,22616,73222
3566,24500,66342
134,22127,73145
453,25185,78154
3749,22250,67502
759,18689,64118
417,18529,68397
3647,21098,67292
241,21106,72890
240,20924,72813
623,24286,77582
2026,25328,71906
831,19314,54413
3000,,
718,19713,67328
502,21973,76214
183,19049,67246
916,14306,57315
805,19682,62879
828,18573,64696
1227,13596,56860
504,21974,75272
505,22359,74843
576,21418,76954
371,23827,73464
1338,24370,76779
3564,23307,65179
1224,19978,68091
3779,22301,64305
824,16868,61527
1252,25187,75737
1210,24806,75516
1367,20504,57753
840,14284,58732
1153,22371,76123
1183,21911,76514
1229,24296,75339
1331,23314,75760
1291,14554,53580
1201,23389,75727
2006,17662,63444
4028,26582,75286
63,25324,73678
57,25298,73551
1059,20821,57245
859,20476,63127
1296,22879,76387
978,21769,73945
857,17369,63771
3638,23271,63618
364,19503,63342
690,17705,62808
220,20840,74740
177,18361,64227
357,25726,78641
2010,19510,64104
633,19739,67086
132,21818,72798
106,22760,72774
427,19645,74128
310,20065,71239
76,25396,79416
707,19373,64901
3796,20368,64739
192,22587,73405
254,21118,74393
582,17641,64394
890,20949,73872
443,25675,76448
187,19403,68370
217,19192,69967
888,18044,62818
190,18873,69867
320,17416,62526
1263,22552,76677
1325,19293,61436
786,24376,74633
696,18599,65527
609,24148,76857
255,24741,74517
193,19075,69582
1297,23992,75781
112,20897,73955
889,20849,73979
4004,26240,74092
673,19295,65416
507,21560,76212
233,19066,69468
140,21457,73196
168,19379,69133
85,23404,71922
170,19694,68679
508,24158,73637
509,23236,73912
387,19231,69488
1095,15583,59360
98,19018,67499
510,22468,74616
274,18425,62641
297,20970,75506
512,23986,72791
764,17694,63769
316,18811,68692
345,26175,78900
6900,19195,67640
107,16325,62022
